"pid","title","short_name","first_name","last_name","middle_name","birthdate","birthplace","country","primary_team","logo_url","playing_role","batting_style","bowling_style","fielding_position","recent_match","recent_appearance","fantasy_player_rating","alt_name","facebook_profile","twitter_profile","instagram_profile","debut_data","thumb_url","nationality"
93001,"Bhaskar Yadram","B Yadram","Bhaskar Yadram","","","1999-09-18","","wi","[]","","all","Right Hand Bat","Right Arm Off Break","",23789,1515805200,7,"","","","","","","West Indies"
1415,"Emmanuel Stewart","EWJ Stewart","Emmanuel Stewart","","","1999-08-23","","wi","[]","","wk","Right Hand Bat","","",23789,1515805200,8.5,"","","","","","","West Indies"
93587,"Kimani Melius","KS Melius","Kimani Melius","","","2001-01-17","St. Lucia","wi","[]","","bat","Right Hand Bat","","",23789,1515805200,6,"","","","","","","West Indies"
52154,"Ronaldo Alimohamed","RJ Alimohamed","Ronaldo Alimohamed","","","1998-10-03","","wi","[]","","bowl","Right Hand Bat","Right Arm Fast Medium","",23789,1515805200,7.5,"","","","","","","West Indies"
93141,"Alick Athanaze","A Athanaze","Alick Athanaze","","","1998-12-07","Dominica","wi","[]","","bat","Left hand Bat","Right Arm Off Break","",23789,1515805200,8.5,"Alick Athanaze","","https://twitter.com/Alick__418","https://www.instagram.com/alick__418/","","","West Indies"
93143,"Jeavor Royal","J Royal","Jeavor Royal","","","1998-12-02","Jamaica","wi","[]","","bowl","Right Hand Bat","Left Arm Orthodox","",23789,1515805200,7,"","","","https://www.instagram.com/jeavorroyal/","","","West Indies"
52144,"Brad Barnes","BO Barnes","Brad Barnes","","","1998-02-11","","wi","[]","","all","Right Hand Bat","Right Arm Off Break","",23822,1516915800,7,"","","","","","","West Indies"
93589,"Kian Pemberton","K Pemberton","Kian Pemberton","","","","","wi","[]","","bowl","","","",23807,1516397400,8,"","","","","","","West Indies"
93586,"Jarion Hoyte","J Hoyte","Jarion Hoyte","","","","","wi","[]","","bat","","","",23798,1516150800,8,"","","","","","","West Indies"
52230,"Cephas Cooper","C Cooper","Cephas Cooper","","","1999-07-11","","wi","[]","","bat","Right Hand Bat","Right Arm Off Break","",23789,1515805200,8.5,"","","","","","","West Indies"
93001,"Bhaskar Yadram","B Yadram","Bhaskar Yadram","","","1999-09-18","","wi","[]","","all","Right Hand Bat","Right Arm Off Break","",23789,1515805200,7,"","","","","","","West Indies"
1415,"Emmanuel Stewart","EWJ Stewart","Emmanuel Stewart","","","1999-08-23","","wi","[]","","wk","Right Hand Bat","","",23789,1515805200,8.5,"","","","","","","West Indies"
93587,"Kimani Melius","KS Melius","Kimani Melius","","","2001-01-17","St. Lucia","wi","[]","","bat","Right Hand Bat","","",23789,1515805200,6,"","","","","","","West Indies"
52154,"Ronaldo Alimohamed","RJ Alimohamed","Ronaldo Alimohamed","","","1998-10-03","","wi","[]","","bowl","Right Hand Bat","Right Arm Fast Medium","",23789,1515805200,7.5,"","","","","","","West Indies"
93141,"Alick Athanaze","A Athanaze","Alick Athanaze","","","1998-12-07","Dominica","wi","[]","","bat","Left hand Bat","Right Arm Off Break","",23789,1515805200,8.5,"Alick Athanaze","","https://twitter.com/Alick__418","https://www.instagram.com/alick__418/","","","West Indies"
93143,"Jeavor Royal","J Royal","Jeavor Royal","","","1998-12-02","Jamaica","wi","[]","","bowl","Right Hand Bat","Left Arm Orthodox","",23789,1515805200,7,"","","","https://www.instagram.com/jeavorroyal/","","","West Indies"
52144,"Brad Barnes","BO Barnes","Brad Barnes","","","1998-02-11","","wi","[]","","all","Right Hand Bat","Right Arm Off Break","",23822,1516915800,7,"","","","","","","West Indies"
93589,"Kian Pemberton","K Pemberton","Kian Pemberton","","","","","wi","[]","","bowl","","","",23807,1516397400,8,"","","","","","","West Indies"
93586,"Jarion Hoyte","J Hoyte","Jarion Hoyte","","","","","wi","[]","","bat","","","",23798,1516150800,8,"","","","","","","West Indies"
52230,"Cephas Cooper","C Cooper","Cephas Cooper","","","1999-07-11","","wi","[]","","bat","Right Hand Bat","Right Arm Off Break","",23789,1515805200,8.5,"","","","","","","West Indies"
93001,"Bhaskar Yadram","B Yadram","Bhaskar Yadram","","","1999-09-18","","wi","[]","","all","Right Hand Bat","Right Arm Off Break","",23789,1515805200,7,"","","","","","","West Indies"
1415,"Emmanuel Stewart","EWJ Stewart","Emmanuel Stewart","","","1999-08-23","","wi","[]","","wk","Right Hand Bat","","",23789,1515805200,8.5,"","","","","","","West Indies"
93587,"Kimani Melius","KS Melius","Kimani Melius","","","2001-01-17","St. Lucia","wi","[]","","bat","Right Hand Bat","","",23789,1515805200,6,"","","","","","","West Indies"
52154,"Ronaldo Alimohamed","RJ Alimohamed","Ronaldo Alimohamed","","","1998-10-03","","wi","[]","","bowl","Right Hand Bat","Right Arm Fast Medium","",23789,1515805200,7.5,"","","","","","","West Indies"
93141,"Alick Athanaze","A Athanaze","Alick Athanaze","","","1998-12-07","Dominica","wi","[]","","bat","Left hand Bat","Right Arm Off Break","",23789,1515805200,8.5,"Alick Athanaze","","https://twitter.com/Alick__418","https://www.instagram.com/alick__418/","","","West Indies"
93143,"Jeavor Royal","J Royal","Jeavor Royal","","","1998-12-02","Jamaica","wi","[]","","bowl","Right Hand Bat","Left Arm Orthodox","",23789,1515805200,7,"","","","https://www.instagram.com/jeavorroyal/","","","West Indies"
52144,"Brad Barnes","BO Barnes","Brad Barnes","","","1998-02-11","","wi","[]","","all","Right Hand Bat","Right Arm Off Break","",23822,1516915800,7,"","","","","","","West Indies"
93589,"Kian Pemberton","K Pemberton","Kian Pemberton","","","","","wi","[]","","bowl","","","",23807,1516397400,8,"","","","","","","West Indies"
93586,"Jarion Hoyte","J Hoyte","Jarion Hoyte","","","","","wi","[]","","bat","","","",23798,1516150800,8,"","","","","","","West Indies"
52230,"Cephas Cooper","C Cooper","Cephas Cooper","","","1999-07-11","","wi","[]","","bat","Right Hand Bat","Right Arm Off Break","",23789,1515805200,8.5,"","","","","","","West Indies"
93001,"Bhaskar Yadram","B Yadram","Bhaskar Yadram","","","1999-09-18","","wi","[]","","all","Right Hand Bat","Right Arm Off Break","",23789,1515805200,7,"","","","","","","West Indies"
1415,"Emmanuel Stewart","EWJ Stewart","Emmanuel Stewart","","","1999-08-23","","wi","[]","","wk","Right Hand Bat","","",23789,1515805200,8.5,"","","","","","","West Indies"
93587,"Kimani Melius","KS Melius","Kimani Melius","","","2001-01-17","St. Lucia","wi","[]","","bat","Right Hand Bat","","",23789,1515805200,6,"","","","","","","West Indies"
52154,"Ronaldo Alimohamed","RJ Alimohamed","Ronaldo Alimohamed","","","1998-10-03","","wi","[]","","bowl","Right Hand Bat","Right Arm Fast Medium","",23789,1515805200,7.5,"","","","","","","West Indies"
93141,"Alick Athanaze","A Athanaze","Alick Athanaze","","","1998-12-07","Dominica","wi","[]","","bat","Left hand Bat","Right Arm Off Break","",23789,1515805200,8.5,"Alick Athanaze","","https://twitter.com/Alick__418","https://www.instagram.com/alick__418/","","","West Indies"
93143,"Jeavor Royal","J Royal","Jeavor Royal","","","1998-12-02","Jamaica","wi","[]","","bowl","Right Hand Bat","Left Arm Orthodox","",23789,1515805200,7,"","","","https://www.instagram.com/jeavorroyal/","","","West Indies"
52144,"Brad Barnes","BO Barnes","Brad Barnes","","","1998-02-11","","wi","[]","","all","Right Hand Bat","Right Arm Off Break","",23822,1516915800,7,"","","","","","","West Indies"
93589,"Kian Pemberton","K Pemberton","Kian Pemberton","","","","","wi","[]","","bowl","","","",23807,1516397400,8,"","","","","","","West Indies"
93586,"Jarion Hoyte","J Hoyte","Jarion Hoyte","","","","","wi","[]","","bat","","","",23798,1516150800,8,"","","","","","","West Indies"
52230,"Cephas Cooper","C Cooper","Cephas Cooper","","","1999-07-11","","wi","[]","","bat","Right Hand Bat","Right Arm Off Break","",23789,1515805200,8.5,"","","","","","","West Indies"
93001,"Bhaskar Yadram","B Yadram","Bhaskar Yadram","","","1999-09-18","","wi","[]","","all","Right Hand Bat","Right Arm Off Break","",23789,1515805200,7,"","","","","","","West Indies"
1415,"Emmanuel Stewart","EWJ Stewart","Emmanuel Stewart","","","1999-08-23","","wi","[]","","wk","Right Hand Bat","","",23789,1515805200,8.5,"","","","","","","West Indies"
93587,"Kimani Melius","KS Melius","Kimani Melius","","","2001-01-17","St. Lucia","wi","[]","","bat","Right Hand Bat","","",23789,1515805200,6,"","","","","","","West Indies"
52154,"Ronaldo Alimohamed","RJ Alimohamed","Ronaldo Alimohamed","","","1998-10-03","","wi","[]","","bowl","Right Hand Bat","Right Arm Fast Medium","",23789,1515805200,7.5,"","","","","","","West Indies"
93141,"Alick Athanaze","A Athanaze","Alick Athanaze","","","1998-12-07","Dominica","wi","[]","","bat","Left hand Bat","Right Arm Off Break","",23789,1515805200,8.5,"Alick Athanaze","","https://twitter.com/Alick__418","https://www.instagram.com/alick__418/","","","West Indies"
93143,"Jeavor Royal","J Royal","Jeavor Royal","","","1998-12-02","Jamaica","wi","[]","","bowl","Right Hand Bat","Left Arm Orthodox","",23789,1515805200,7,"","","","https://www.instagram.com/jeavorroyal/","","","West Indies"
52144,"Brad Barnes","BO Barnes","Brad Barnes","","","1998-02-11","","wi","[]","","all","Right Hand Bat","Right Arm Off Break","",23822,1516915800,7,"","","","","","","West Indies"
93589,"Kian Pemberton","K Pemberton","Kian Pemberton","","","","","wi","[]","","bowl","","","",23807,1516397400,8,"","","","","","","West Indies"
93586,"Jarion Hoyte","J Hoyte","Jarion Hoyte","","","","","wi","[]","","bat","","","",23798,1516150800,8,"","","","","","","West Indies"
52230,"Cephas Cooper","C Cooper","Cephas Cooper","","","1999-07-11","","wi","[]","","bat","Right Hand Bat","Right Arm Off Break","",23789,1515805200,8.5,"","","","","","","West Indies"
93001,"Bhaskar Yadram","B Yadram","Bhaskar Yadram","","","1999-09-18","","wi","[]","","all","Right Hand Bat","Right Arm Off Break","",23789,1515805200,7,"","","","","","","West Indies"
1415,"Emmanuel Stewart","EWJ Stewart","Emmanuel Stewart","","","1999-08-23","","wi","[]","","wk","Right Hand Bat","","",23789,1515805200,8.5,"","","","","","","West Indies"
93587,"Kimani Melius","KS Melius","Kimani Melius","","","2001-01-17","St. Lucia","wi","[]","","bat","Right Hand Bat","","",23789,1515805200,6,"","","","","","","West Indies"
52154,"Ronaldo Alimohamed","RJ Alimohamed","Ronaldo Alimohamed","","","1998-10-03","","wi","[]","","bowl","Right Hand Bat","Right Arm Fast Medium","",23789,1515805200,7.5,"","","","","","","West Indies"
93141,"Alick Athanaze","A Athanaze","Alick Athanaze","","","1998-12-07","Dominica","wi","[]","","bat","Left hand Bat","Right Arm Off Break","",23789,1515805200,8.5,"Alick Athanaze","","https://twitter.com/Alick__418","https://www.instagram.com/alick__418/","","","West Indies"
93143,"Jeavor Royal","J Royal","Jeavor Royal","","","1998-12-02","Jamaica","wi","[]","","bowl","Right Hand Bat","Left Arm Orthodox","",23789,1515805200,7,"","","","https://www.instagram.com/jeavorroyal/","","","West Indies"
52144,"Brad Barnes","BO Barnes","Brad Barnes","","","1998-02-11","","wi","[]","","all","Right Hand Bat","Right Arm Off Break","",23822,1516915800,7,"","","","","","","West Indies"
93589,"Kian Pemberton","K Pemberton","Kian Pemberton","","","","","wi","[]","","bowl","","","",23807,1516397400,8,"","","","","","","West Indies"
93586,"Jarion Hoyte","J Hoyte","Jarion Hoyte","","","","","wi","[]","","bat","","","",23798,1516150800,8,"","","","","","","West Indies"
52230,"Cephas Cooper","C Cooper","Cephas Cooper","","","1999-07-11","","wi","[]","","bat","Right Hand Bat","Right Arm Off Break","",23789,1515805200,8.5,"","","","","","","West Indies"
93001,"Bhaskar Yadram","B Yadram","Bhaskar Yadram","","","1999-09-18","","wi","[]","","all","Right Hand Bat","Right Arm Off Break","",23789,1515805200,7,"","","","","","","West Indies"
1415,"Emmanuel Stewart","EWJ Stewart","Emmanuel Stewart","","","1999-08-23","","wi","[]","","wk","Right Hand Bat","","",23789,1515805200,8.5,"","","","","","","West Indies"
93587,"Kimani Melius","KS Melius","Kimani Melius","","","2001-01-17","St. Lucia","wi","[]","","bat","Right Hand Bat","","",23789,1515805200,6,"","","","","","","West Indies"
52154,"Ronaldo Alimohamed","RJ Alimohamed","Ronaldo Alimohamed","","","1998-10-03","","wi","[]","","bowl","Right Hand Bat","Right Arm Fast Medium","",23789,1515805200,7.5,"","","","","","","West Indies"
93141,"Alick Athanaze","A Athanaze","Alick Athanaze","","","1998-12-07","Dominica","wi","[]","","bat","Left hand Bat","Right Arm Off Break","",23789,1515805200,8.5,"Alick Athanaze","","https://twitter.com/Alick__418","https://www.instagram.com/alick__418/","","","West Indies"
93143,"Jeavor Royal","J Royal","Jeavor Royal","","","1998-12-02","Jamaica","wi","[]","","bowl","Right Hand Bat","Left Arm Orthodox","",23789,1515805200,7,"","","","https://www.instagram.com/jeavorroyal/","","","West Indies"
52144,"Brad Barnes","BO Barnes","Brad Barnes","","","1998-02-11","","wi","[]","","all","Right Hand Bat","Right Arm Off Break","",23822,1516915800,7,"","","","","","","West Indies"
93589,"Kian Pemberton","K Pemberton","Kian Pemberton","","","","","wi","[]","","bowl","","","",23807,1516397400,8,"","","","","","","West Indies"
93586,"Jarion Hoyte","J Hoyte","Jarion Hoyte","","","","","wi","[]","","bat","","","",23798,1516150800,8,"","","","","","","West Indies"
52230,"Cephas Cooper","C Cooper","Cephas Cooper","","","1999-07-11","","wi","[]","","bat","Right Hand Bat","Right Arm Off Break","",23789,1515805200,8.5,"","","","","","","West Indies"
93001,"Bhaskar Yadram","B Yadram","Bhaskar Yadram","","","1999-09-18","","wi","[]","","all","Right Hand Bat","Right Arm Off Break","",23789,1515805200,7,"","","","","","","West Indies"
1415,"Emmanuel Stewart","EWJ Stewart","Emmanuel Stewart","","","1999-08-23","","wi","[]","","wk","Right Hand Bat","","",23789,1515805200,8.5,"","","","","","","West Indies"
93587,"Kimani Melius","KS Melius","Kimani Melius","","","2001-01-17","St. Lucia","wi","[]","","bat","Right Hand Bat","","",23789,1515805200,6,"","","","","","","West Indies"
52154,"Ronaldo Alimohamed","RJ Alimohamed","Ronaldo Alimohamed","","","1998-10-03","","wi","[]","","bowl","Right Hand Bat","Right Arm Fast Medium","",23789,1515805200,7.5,"","","","","","","West Indies"
93141,"Alick Athanaze","A Athanaze","Alick Athanaze","","","1998-12-07","Dominica","wi","[]","","bat","Left hand Bat","Right Arm Off Break","",23789,1515805200,8.5,"Alick Athanaze","","https://twitter.com/Alick__418","https://www.instagram.com/alick__418/","","","West Indies"
93143,"Jeavor Royal","J Royal","Jeavor Royal","","","1998-12-02","Jamaica","wi","[]","","bowl","Right Hand Bat","Left Arm Orthodox","",23789,1515805200,7,"","","","https://www.instagram.com/jeavorroyal/","","","West Indies"
52144,"Brad Barnes","BO Barnes","Brad Barnes","","","1998-02-11","","wi","[]","","all","Right Hand Bat","Right Arm Off Break","",23822,1516915800,7,"","","","","","","West Indies"
93589,"Kian Pemberton","K Pemberton","Kian Pemberton","","","","","wi","[]","","bowl","","","",23807,1516397400,8,"","","","","","","West Indies"
93586,"Jarion Hoyte","J Hoyte","Jarion Hoyte","","","","","wi","[]","","bat","","","",23798,1516150800,8,"","","","","","","West Indies"
52230,"Cephas Cooper","C Cooper","Cephas Cooper","","","1999-07-11","","wi","[]","","bat","Right Hand Bat","Right Arm Off Break","",23789,1515805200,8.5,"","","","","","","West Indies"
93001,"Bhaskar Yadram","B Yadram","Bhaskar Yadram","","","1999-09-18","","wi","[]","","all","Right Hand Bat","Right Arm Off Break","",23789,1515805200,7,"","","","","","","West Indies"
1415,"Emmanuel Stewart","EWJ Stewart","Emmanuel Stewart","","","1999-08-23","","wi","[]","","wk","Right Hand Bat","","",23789,1515805200,8.5,"","","","","","","West Indies"
93587,"Kimani Melius","KS Melius","Kimani Melius","","","2001-01-17","St. Lucia","wi","[]","","bat","Right Hand Bat","","",23789,1515805200,6,"","","","","","","West Indies"
52154,"Ronaldo Alimohamed","RJ Alimohamed","Ronaldo Alimohamed","","","1998-10-03","","wi","[]","","bowl","Right Hand Bat","Right Arm Fast Medium","",23789,1515805200,7.5,"","","","","","","West Indies"
93141,"Alick Athanaze","A Athanaze","Alick Athanaze","","","1998-12-07","Dominica","wi","[]","","bat","Left hand Bat","Right Arm Off Break","",23789,1515805200,8.5,"Alick Athanaze","","https://twitter.com/Alick__418","https://www.instagram.com/alick__418/","","","West Indies"
93143,"Jeavor Royal","J Royal","Jeavor Royal","","","1998-12-02","Jamaica","wi","[]","","bowl","Right Hand Bat","Left Arm Orthodox","",23789,1515805200,7,"","","","https://www.instagram.com/jeavorroyal/","","","West Indies"
52144,"Brad Barnes","BO Barnes","Brad Barnes","","","1998-02-11","","wi","[]","","all","Right Hand Bat","Right Arm Off Break","",23822,1516915800,7,"","","","","","","West Indies"
93589,"Kian Pemberton","K Pemberton","Kian Pemberton","","","","","wi","[]","","bowl","","","",23807,1516397400,8,"","","","","","","West Indies"
93586,"Jarion Hoyte","J Hoyte","Jarion Hoyte","","","","","wi","[]","","bat","","","",23798,1516150800,8,"","","","","","","West Indies"
52230,"Cephas Cooper","C Cooper","Cephas Cooper","","","1999-07-11","","wi","[]","","bat","Right Hand Bat","Right Arm Off Break","",23789,1515805200,8.5,"","","","","","","West Indies"
93001,"Bhaskar Yadram","B Yadram","Bhaskar Yadram","","","1999-09-18","","wi","[]","","all","Right Hand Bat","Right Arm Off Break","",23789,1515805200,7,"","","","","","","West Indies"
1415,"Emmanuel Stewart","EWJ Stewart","Emmanuel Stewart","","","1999-08-23","","wi","[]","","wk","Right Hand Bat","","",23789,1515805200,8.5,"","","","","","","West Indies"
93587,"Kimani Melius","KS Melius","Kimani Melius","","","2001-01-17","St. Lucia","wi","[]","","bat","Right Hand Bat","","",23789,1515805200,6,"","","","","","","West Indies"
52154,"Ronaldo Alimohamed","RJ Alimohamed","Ronaldo Alimohamed","","","1998-10-03","","wi","[]","","bowl","Right Hand Bat","Right Arm Fast Medium","",23789,1515805200,7.5,"","","","","","","West Indies"
93141,"Alick Athanaze","A Athanaze","Alick Athanaze","","","1998-12-07","Dominica","wi","[]","","bat","Left hand Bat","Right Arm Off Break","",23789,1515805200,8.5,"Alick Athanaze","","https://twitter.com/Alick__418","https://www.instagram.com/alick__418/","","","West Indies"
93143,"Jeavor Royal","J Royal","Jeavor Royal","","","1998-12-02","Jamaica","wi","[]","","bowl","Right Hand Bat","Left Arm Orthodox","",23789,1515805200,7,"","","","https://www.instagram.com/jeavorroyal/","","","West Indies"
52144,"Brad Barnes","BO Barnes","Brad Barnes","","","1998-02-11","","wi","[]","","all","Right Hand Bat","Right Arm Off Break","",23822,1516915800,7,"","","","","","","West Indies"
93589,"Kian Pemberton","K Pemberton","Kian Pemberton","","","","","wi","[]","","bowl","","","",23807,1516397400,8,"","","","","","","West Indies"
93586,"Jarion Hoyte","J Hoyte","Jarion Hoyte","","","","","wi","[]","","bat","","","",23798,1516150800,8,"","","","","","","West Indies"
52230,"Cephas Cooper","C Cooper","Cephas Cooper","","","1999-07-11","","wi","[]","","bat","Right Hand Bat","Right Arm Off Break","",23789,1515805200,8.5,"","","","","","","West Indies"
93001,"Bhaskar Yadram","B Yadram","Bhaskar Yadram","","","1999-09-18","","wi","[]","","all","Right Hand Bat","Right Arm Off Break","",23789,1515805200,7,"","","","","","","West Indies"
1415,"Emmanuel Stewart","EWJ Stewart","Emmanuel Stewart","","","1999-08-23","","wi","[]","","wk","Right Hand Bat","","",23789,1515805200,8.5,"","","","","","","West Indies"
93587,"Kimani Melius","KS Melius","Kimani Melius","","","2001-01-17","St. Lucia","wi","[]","","bat","Right Hand Bat","","",23789,1515805200,6,"","","","","","","West Indies"
52154,"Ronaldo Alimohamed","RJ Alimohamed","Ronaldo Alimohamed","","","1998-10-03","","wi","[]","","bowl","Right Hand Bat","Right Arm Fast Medium","",23789,1515805200,7.5,"","","","","","","West Indies"
93141,"Alick Athanaze","A Athanaze","Alick Athanaze","","","1998-12-07","Dominica","wi","[]","","bat","Left hand Bat","Right Arm Off Break","",23789,1515805200,8.5,"Alick Athanaze","","https://twitter.com/Alick__418","https://www.instagram.com/alick__418/","","","West Indies"
93143,"Jeavor Royal","J Royal","Jeavor Royal","","","1998-12-02","Jamaica","wi","[]","","bowl","Right Hand Bat","Left Arm Orthodox","",23789,1515805200,7,"","","","https://www.instagram.com/jeavorroyal/","","","West Indies"
52144,"Brad Barnes","BO Barnes","Brad Barnes","","","1998-02-11","","wi","[]","","all","Right Hand Bat","Right Arm Off Break","",23822,1516915800,7,"","","","","","","West Indies"
93589,"Kian Pemberton","K Pemberton","Kian Pemberton","","","","","wi","[]","","bowl","","","",23807,1516397400,8,"","","","","","","West Indies"
93586,"Jarion Hoyte","J Hoyte","Jarion Hoyte","","","","","wi","[]","","bat","","","",23798,1516150800,8,"","","","","","","West Indies"
52230,"Cephas Cooper","C Cooper","Cephas Cooper","","","1999-07-11","","wi","[]","","bat","Right Hand Bat","Right Arm Off Break","",23789,1515805200,8.5,"","","","","","","West Indies"
93001,"Bhaskar Yadram","B Yadram","Bhaskar Yadram","","","1999-09-18","","wi","[]","","all","Right Hand Bat","Right Arm Off Break","",23789,1515805200,7,"","","","","","","West Indies"
1415,"Emmanuel Stewart","EWJ Stewart","Emmanuel Stewart","","","1999-08-23","","wi","[]","","wk","Right Hand Bat","","",23789,1515805200,8.5,"","","","","","","West Indies"
93587,"Kimani Melius","KS Melius","Kimani Melius","","","2001-01-17","St. Lucia","wi","[]","","bat","Right Hand Bat","","",23789,1515805200,6,"","","","","","","West Indies"
52154,"Ronaldo Alimohamed","RJ Alimohamed","Ronaldo Alimohamed","","","1998-10-03","","wi","[]","","bowl","Right Hand Bat","Right Arm Fast Medium","",23789,1515805200,7.5,"","","","","","","West Indies"
93141,"Alick Athanaze","A Athanaze","Alick Athanaze","","","1998-12-07","Dominica","wi","[]","","bat","Left hand Bat","Right Arm Off Break","",23789,1515805200,8.5,"Alick Athanaze","","https://twitter.com/Alick__418","https://www.instagram.com/alick__418/","","","West Indies"
93143,"Jeavor Royal","J Royal","Jeavor Royal","","","1998-12-02","Jamaica","wi","[]","","bowl","Right Hand Bat","Left Arm Orthodox","",23789,1515805200,7,"","","","https://www.instagram.com/jeavorroyal/","","","West Indies"
52144,"Brad Barnes","BO Barnes","Brad Barnes","","","1998-02-11","","wi","[]","","all","Right Hand Bat","Right Arm Off Break","",23822,1516915800,7,"","","","","","","West Indies"
93589,"Kian Pemberton","K Pemberton","Kian Pemberton","","","","","wi","[]","","bowl","","","",23807,1516397400,8,"","","","","","","West Indies"
93586,"Jarion Hoyte","J Hoyte","Jarion Hoyte","","","","","wi","[]","","bat","","","",23798,1516150800,8,"","","","","","","West Indies"
52230,"Cephas Cooper","C Cooper","Cephas Cooper","","","1999-07-11","","wi","[]","","bat","Right Hand Bat","Right Arm Off Break","",23789,1515805200,8.5,"","","","","","","West Indies"
93001,"Bhaskar Yadram","B Yadram","Bhaskar Yadram","","","1999-09-18","","wi","[]","","all","Right Hand Bat","Right Arm Off Break","",23789,1515805200,7,"","","","","","","West Indies"
1415,"Emmanuel Stewart","EWJ Stewart","Emmanuel Stewart","","","1999-08-23","","wi","[]","","wk","Right Hand Bat","","",23789,1515805200,8.5,"","","","","","","West Indies"
93587,"Kimani Melius","KS Melius","Kimani Melius","","","2001-01-17","St. Lucia","wi","[]","","bat","Right Hand Bat","","",23789,1515805200,6,"","","","","","","West Indies"
52154,"Ronaldo Alimohamed","RJ Alimohamed","Ronaldo Alimohamed","","","1998-10-03","","wi","[]","","bowl","Right Hand Bat","Right Arm Fast Medium","",23789,1515805200,7.5,"","","","","","","West Indies"
93141,"Alick Athanaze","A Athanaze","Alick Athanaze","","","1998-12-07","Dominica","wi","[]","","bat","Left hand Bat","Right Arm Off Break","",23789,1515805200,8.5,"Alick Athanaze","","https://twitter.com/Alick__418","https://www.instagram.com/alick__418/","","","West Indies"
93143,"Jeavor Royal","J Royal","Jeavor Royal","","","1998-12-02","Jamaica","wi","[]","","bowl","Right Hand Bat","Left Arm Orthodox","",23789,1515805200,7,"","","","https://www.instagram.com/jeavorroyal/","","","West Indies"
52144,"Brad Barnes","BO Barnes","Brad Barnes","","","1998-02-11","","wi","[]","","all","Right Hand Bat","Right Arm Off Break","",23822,1516915800,7,"","","","","","","West Indies"
93589,"Kian Pemberton","K Pemberton","Kian Pemberton","","","","","wi","[]","","bowl","","","",23807,1516397400,8,"","","","","","","West Indies"
93586,"Jarion Hoyte","J Hoyte","Jarion Hoyte","","","","","wi","[]","","bat","","","",23798,1516150800,8,"","","","","","","West Indies"
52230,"Cephas Cooper","C Cooper","Cephas Cooper","","","1999-07-11","","wi","[]","","bat","Right Hand Bat","Right Arm Off Break","",23789,1515805200,8.5,"","","","","","","West Indies"
93001,"Bhaskar Yadram","B Yadram","Bhaskar Yadram","","","1999-09-18","","wi","[]","","all","Right Hand Bat","Right Arm Off Break","",23789,1515805200,7,"","","","","","","West Indies"
1415,"Emmanuel Stewart","EWJ Stewart","Emmanuel Stewart","","","1999-08-23","","wi","[]","","wk","Right Hand Bat","","",23789,1515805200,8.5,"","","","","","","West Indies"
93587,"Kimani Melius","KS Melius","Kimani Melius","","","2001-01-17","St. Lucia","wi","[]","","bat","Right Hand Bat","","",23789,1515805200,6,"","","","","","","West Indies"
52154,"Ronaldo Alimohamed","RJ Alimohamed","Ronaldo Alimohamed","","","1998-10-03","","wi","[]","","bowl","Right Hand Bat","Right Arm Fast Medium","",23789,1515805200,7.5,"","","","","","","West Indies"
93141,"Alick Athanaze","A Athanaze","Alick Athanaze","","","1998-12-07","Dominica","wi","[]","","bat","Left hand Bat","Right Arm Off Break","",23789,1515805200,8.5,"Alick Athanaze","","https://twitter.com/Alick__418","https://www.instagram.com/alick__418/","","","West Indies"
93143,"Jeavor Royal","J Royal","Jeavor Royal","","","1998-12-02","Jamaica","wi","[]","","bowl","Right Hand Bat","Left Arm Orthodox","",23789,1515805200,7,"","","","https://www.instagram.com/jeavorroyal/","","","West Indies"
52144,"Brad Barnes","BO Barnes","Brad Barnes","","","1998-02-11","","wi","[]","","all","Right Hand Bat","Right Arm Off Break","",23822,1516915800,7,"","","","","","","West Indies"
93589,"Kian Pemberton","K Pemberton","Kian Pemberton","","","","","wi","[]","","bowl","","","",23807,1516397400,8,"","","","","","","West Indies"
93586,"Jarion Hoyte","J Hoyte","Jarion Hoyte","","","","","wi","[]","","bat","","","",23798,1516150800,8,"","","","","","","West Indies"
52230,"Cephas Cooper","C Cooper","Cephas Cooper","","","1999-07-11","","wi","[]","","bat","Right Hand Bat","Right Arm Off Break","",23789,1515805200,8.5,"","","","","","","West Indies"
93001,"Bhaskar Yadram","B Yadram","Bhaskar Yadram","","","1999-09-18","","wi","[]","","all","Right Hand Bat","Right Arm Off Break","",23789,1515805200,7,"","","","","","","West Indies"
1415,"Emmanuel Stewart","EWJ Stewart","Emmanuel Stewart","","","1999-08-23","","wi","[]","","wk","Right Hand Bat","","",23789,1515805200,8.5,"","","","","","","West Indies"
93587,"Kimani Melius","KS Melius","Kimani Melius","","","2001-01-17","St. Lucia","wi","[]","","bat","Right Hand Bat","","",23789,1515805200,6,"","","","","","","West Indies"
52154,"Ronaldo Alimohamed","RJ Alimohamed","Ronaldo Alimohamed","","","1998-10-03","","wi","[]","","bowl","Right Hand Bat","Right Arm Fast Medium","",23789,1515805200,7.5,"","","","","","","West Indies"
93141,"Alick Athanaze","A Athanaze","Alick Athanaze","","","1998-12-07","Dominica","wi","[]","","bat","Left hand Bat","Right Arm Off Break","",23789,1515805200,8.5,"Alick Athanaze","","https://twitter.com/Alick__418","https://www.instagram.com/alick__418/","","","West Indies"
