"pid","title","short_name","first_name","last_name","middle_name","birthdate","birthplace","country","primary_team","logo_url","playing_role","batting_style","bowling_style","fielding_position","recent_match","recent_appearance","fantasy_player_rating","alt_name","facebook_profile","twitter_profile","instagram_profile","debut_data","thumb_url","nationality"
117248,"Nayan Anil","N Anil","Nayan Anil","","","2001-03-07","","om","[]","","bat","Right Hand Bat","Right Arm Medium Fast","",0,0,8.5,"","","","","","","Oman"
96001,"Muzahir Raza","M Raza","Muzahir Raza","","","2002-05-05","","om","[]","","all","Right Hand Bat","Right Arm Medium","",0,0,8,"","","","","","","Oman"
117249,"Alifiya Sayed","A Sayed","Alifiya Sayed","","","2004-05-14","","om","[]","","bat","Right Hand Bat","","",0,0,8.5,"","","","","","","Oman"
120577,"Saheem Bashir","S Bashir","Saheem Bashir","","","","","om","[]","","bat","","","",0,0,6,"","","","","","","Oman"
96002,"Sami Al Balushi","S A Balushi","Sami Al Balushi","","","2003-03-08","","om","[]","","bat","Right Hand Bat","","",0,0,8,"","","","","","","Oman"
117250,"Amanda Dcosta","A Dcosta","Amanda Dcosta","","","2005-03-11","","om","[]","","all","Right Hand Bat","Left Arm Orthodox","",0,0,9.5,"","","","","","","Oman"
117251,"Saya Channa","S Channa","Saya Channa","","","2002-09-22","","om","[]","","all","Right Hand Bat","Right Arm Medium Fast","",0,0,9,"","","","","","","Oman"
120579,"Sami Wahid Baksh","S W Baksh","Sami Wahid Baksh","","","","","om","[]","","bowl","","","",0,0,8,"","","","","","","Oman"
117252,"Sushanthika Sathiya","S Sathiya","Sushanthika Sathiya","","","2007-02-22","","om","[]","","bowl","Right Hand Bat","Right Arm Off Break","",0,0,8,"","","","","","","Oman"
96000,"Mohammed Sameer","M Sameer","Mohammed Sameer","","","2003-06-19","","om","[]","","bat","Right Hand Bat","","",0,0,8,"","","","","","","Oman"
117248,"Nayan Anil","N Anil","Nayan Anil","","","2001-03-07","","om","[]","","bat","Right Hand Bat","Right Arm Medium Fast","",0,0,8.5,"","","","","","","Oman"
96001,"Muzahir Raza","M Raza","Muzahir Raza","","","2002-05-05","","om","[]","","all","Right Hand Bat","Right Arm Medium","",0,0,8,"","","","","","","Oman"
117249,"Alifiya Sayed","A Sayed","Alifiya Sayed","","","2004-05-14","","om","[]","","bat","Right Hand Bat","","",0,0,8.5,"","","","","","","Oman"
120577,"Saheem Bashir","S Bashir","Saheem Bashir","","","","","om","[]","","bat","","","",0,0,6,"","","","","","","Oman"
96002,"Sami Al Balushi","S A Balushi","Sami Al Balushi","","","2003-03-08","","om","[]","","bat","Right Hand Bat","","",0,0,8,"","","","","","","Oman"
117250,"Amanda Dcosta","A Dcosta","Amanda Dcosta","","","2005-03-11","","om","[]","","all","Right Hand Bat","Left Arm Orthodox","",0,0,9.5,"","","","","","","Oman"
117251,"Saya Channa","S Channa","Saya Channa","","","2002-09-22","","om","[]","","all","Right Hand Bat","Right Arm Medium Fast","",0,0,9,"","","","","","","Oman"
120579,"Sami Wahid Baksh","S W Baksh","Sami Wahid Baksh","","","","","om","[]","","bowl","","","",0,0,8,"","","","","","","Oman"
117252,"Sushanthika Sathiya","S Sathiya","Sushanthika Sathiya","","","2007-02-22","","om","[]","","bowl","Right Hand Bat","Right Arm Off Break","",0,0,8,"","","","","","","Oman"
96000,"Mohammed Sameer","M Sameer","Mohammed Sameer","","","2003-06-19","","om","[]","","bat","Right Hand Bat","","",0,0,8,"","","","","","","Oman"
117248,"Nayan Anil","N Anil","Nayan Anil","","","2001-03-07","","om","[]","","bat","Right Hand Bat","Right Arm Medium Fast","",0,0,8.5,"","","","","","","Oman"
96001,"Muzahir Raza","M Raza","Muzahir Raza","","","2002-05-05","","om","[]","","all","Right Hand Bat","Right Arm Medium","",0,0,8,"","","","","","","Oman"
117249,"Alifiya Sayed","A Sayed","Alifiya Sayed","","","2004-05-14","","om","[]","","bat","Right Hand Bat","","",0,0,8.5,"","","","","","","Oman"
120577,"Saheem Bashir","S Bashir","Saheem Bashir","","","","","om","[]","","bat","","","",0,0,6,"","","","","","","Oman"
96002,"Sami Al Balushi","S A Balushi","Sami Al Balushi","","","2003-03-08","","om","[]","","bat","Right Hand Bat","","",0,0,8,"","","","","","","Oman"
117250,"Amanda Dcosta","A Dcosta","Amanda Dcosta","","","2005-03-11","","om","[]","","all","Right Hand Bat","Left Arm Orthodox","",0,0,9.5,"","","","","","","Oman"
117251,"Saya Channa","S Channa","Saya Channa","","","2002-09-22","","om","[]","","all","Right Hand Bat","Right Arm Medium Fast","",0,0,9,"","","","","","","Oman"
120579,"Sami Wahid Baksh","S W Baksh","Sami Wahid Baksh","","","","","om","[]","","bowl","","","",0,0,8,"","","","","","","Oman"
117252,"Sushanthika Sathiya","S Sathiya","Sushanthika Sathiya","","","2007-02-22","","om","[]","","bowl","Right Hand Bat","Right Arm Off Break","",0,0,8,"","","","","","","Oman"
96000,"Mohammed Sameer","M Sameer","Mohammed Sameer","","","2003-06-19","","om","[]","","bat","Right Hand Bat","","",0,0,8,"","","","","","","Oman"
117248,"Nayan Anil","N Anil","Nayan Anil","","","2001-03-07","","om","[]","","bat","Right Hand Bat","Right Arm Medium Fast","",0,0,8.5,"","","","","","","Oman"
96001,"Muzahir Raza","M Raza","Muzahir Raza","","","2002-05-05","","om","[]","","all","Right Hand Bat","Right Arm Medium","",0,0,8,"","","","","","","Oman"
117249,"Alifiya Sayed","A Sayed","Alifiya Sayed","","","2004-05-14","","om","[]","","bat","Right Hand Bat","","",0,0,8.5,"","","","","","","Oman"
120577,"Saheem Bashir","S Bashir","Saheem Bashir","","","","","om","[]","","bat","","","",0,0,6,"","","","","","","Oman"
96002,"Sami Al Balushi","S A Balushi","Sami Al Balushi","","","2003-03-08","","om","[]","","bat","Right Hand Bat","","",0,0,8,"","","","","","","Oman"
117250,"Amanda Dcosta","A Dcosta","Amanda Dcosta","","","2005-03-11","","om","[]","","all","Right Hand Bat","Left Arm Orthodox","",0,0,9.5,"","","","","","","Oman"
117251,"Saya Channa","S Channa","Saya Channa","","","2002-09-22","","om","[]","","all","Right Hand Bat","Right Arm Medium Fast","",0,0,9,"","","","","","","Oman"
120579,"Sami Wahid Baksh","S W Baksh","Sami Wahid Baksh","","","","","om","[]","","bowl","","","",0,0,8,"","","","","","","Oman"
117252,"Sushanthika Sathiya","S Sathiya","Sushanthika Sathiya","","","2007-02-22","","om","[]","","bowl","Right Hand Bat","Right Arm Off Break","",0,0,8,"","","","","","","Oman"
96000,"Mohammed Sameer","M Sameer","Mohammed Sameer","","","2003-06-19","","om","[]","","bat","Right Hand Bat","","",0,0,8,"","","","","","","Oman"
117248,"Nayan Anil","N Anil","Nayan Anil","","","2001-03-07","","om","[]","","bat","Right Hand Bat","Right Arm Medium Fast","",0,0,8.5,"","","","","","","Oman"
96001,"Muzahir Raza","M Raza","Muzahir Raza","","","2002-05-05","","om","[]","","all","Right Hand Bat","Right Arm Medium","",0,0,8,"","","","","","","Oman"
117249,"Alifiya Sayed","A Sayed","Alifiya Sayed","","","2004-05-14","","om","[]","","bat","Right Hand Bat","","",0,0,8.5,"","","","","","","Oman"
120577,"Saheem Bashir","S Bashir","Saheem Bashir","","","","","om","[]","","bat","","","",0,0,6,"","","","","","","Oman"
96002,"Sami Al Balushi","S A Balushi","Sami Al Balushi","","","2003-03-08","","om","[]","","bat","Right Hand Bat","","",0,0,8,"","","","","","","Oman"
117250,"Amanda Dcosta","A Dcosta","Amanda Dcosta","","","2005-03-11","","om","[]","","all","Right Hand Bat","Left Arm Orthodox","",0,0,9.5,"","","","","","","Oman"
117251,"Saya Channa","S Channa","Saya Channa","","","2002-09-22","","om","[]","","all","Right Hand Bat","Right Arm Medium Fast","",0,0,9,"","","","","","","Oman"
120579,"Sami Wahid Baksh","S W Baksh","Sami Wahid Baksh","","","","","om","[]","","bowl","","","",0,0,8,"","","","","","","Oman"
117252,"Sushanthika Sathiya","S Sathiya","Sushanthika Sathiya","","","2007-02-22","","om","[]","","bowl","Right Hand Bat","Right Arm Off Break","",0,0,8,"","","","","","","Oman"
96000,"Mohammed Sameer","M Sameer","Mohammed Sameer","","","2003-06-19","","om","[]","","bat","Right Hand Bat","","",0,0,8,"","","","","","","Oman"
117248,"Nayan Anil","N Anil","Nayan Anil","","","2001-03-07","","om","[]","","bat","Right Hand Bat","Right Arm Medium Fast","",0,0,8.5,"","","","","","","Oman"
96001,"Muzahir Raza","M Raza","Muzahir Raza","","","2002-05-05","","om","[]","","all","Right Hand Bat","Right Arm Medium","",0,0,8,"","","","","","","Oman"
117249,"Alifiya Sayed","A Sayed","Alifiya Sayed","","","2004-05-14","","om","[]","","bat","Right Hand Bat","","",0,0,8.5,"","","","","","","Oman"
120577,"Saheem Bashir","S Bashir","Saheem Bashir","","","","","om","[]","","bat","","","",0,0,6,"","","","","","","Oman"
96002,"Sami Al Balushi","S A Balushi","Sami Al Balushi","","","2003-03-08","","om","[]","","bat","Right Hand Bat","","",0,0,8,"","","","","","","Oman"
117250,"Amanda Dcosta","A Dcosta","Amanda Dcosta","","","2005-03-11","","om","[]","","all","Right Hand Bat","Left Arm Orthodox","",0,0,9.5,"","","","","","","Oman"
117251,"Saya Channa","S Channa","Saya Channa","","","2002-09-22","","om","[]","","all","Right Hand Bat","Right Arm Medium Fast","",0,0,9,"","","","","","","Oman"
120579,"Sami Wahid Baksh","S W Baksh","Sami Wahid Baksh","","","","","om","[]","","bowl","","","",0,0,8,"","","","","","","Oman"
117252,"Sushanthika Sathiya","S Sathiya","Sushanthika Sathiya","","","2007-02-22","","om","[]","","bowl","Right Hand Bat","Right Arm Off Break","",0,0,8,"","","","","","","Oman"
96000,"Mohammed Sameer","M Sameer","Mohammed Sameer","","","2003-06-19","","om","[]","","bat","Right Hand Bat","","",0,0,8,"","","","","","","Oman"
117248,"Nayan Anil","N Anil","Nayan Anil","","","2001-03-07","","om","[]","","bat","Right Hand Bat","Right Arm Medium Fast","",0,0,8.5,"","","","","","","Oman"
96001,"Muzahir Raza","M Raza","Muzahir Raza","","","2002-05-05","","om","[]","","all","Right Hand Bat","Right Arm Medium","",0,0,8,"","","","","","","Oman"
117249,"Alifiya Sayed","A Sayed","Alifiya Sayed","","","2004-05-14","","om","[]","","bat","Right Hand Bat","","",0,0,8.5,"","","","","","","Oman"
120577,"Saheem Bashir","S Bashir","Saheem Bashir","","","","","om","[]","","bat","","","",0,0,6,"","","","","","","Oman"
96002,"Sami Al Balushi","S A Balushi","Sami Al Balushi","","","2003-03-08","","om","[]","","bat","Right Hand Bat","","",0,0,8,"","","","","","","Oman"
117250,"Amanda Dcosta","A Dcosta","Amanda Dcosta","","","2005-03-11","","om","[]","","all","Right Hand Bat","Left Arm Orthodox","",0,0,9.5,"","","","","","","Oman"
117251,"Saya Channa","S Channa","Saya Channa","","","2002-09-22","","om","[]","","all","Right Hand Bat","Right Arm Medium Fast","",0,0,9,"","","","","","","Oman"
120579,"Sami Wahid Baksh","S W Baksh","Sami Wahid Baksh","","","","","om","[]","","bowl","","","",0,0,8,"","","","","","","Oman"
117252,"Sushanthika Sathiya","S Sathiya","Sushanthika Sathiya","","","2007-02-22","","om","[]","","bowl","Right Hand Bat","Right Arm Off Break","",0,0,8,"","","","","","","Oman"
96000,"Mohammed Sameer","M Sameer","Mohammed Sameer","","","2003-06-19","","om","[]","","bat","Right Hand Bat","","",0,0,8,"","","","","","","Oman"
117248,"Nayan Anil","N Anil","Nayan Anil","","","2001-03-07","","om","[]","","bat","Right Hand Bat","Right Arm Medium Fast","",0,0,8.5,"","","","","","","Oman"
96001,"Muzahir Raza","M Raza","Muzahir Raza","","","2002-05-05","","om","[]","","all","Right Hand Bat","Right Arm Medium","",0,0,8,"","","","","","","Oman"
117249,"Alifiya Sayed","A Sayed","Alifiya Sayed","","","2004-05-14","","om","[]","","bat","Right Hand Bat","","",0,0,8.5,"","","","","","","Oman"
120577,"Saheem Bashir","S Bashir","Saheem Bashir","","","","","om","[]","","bat","","","",0,0,6,"","","","","","","Oman"
96002,"Sami Al Balushi","S A Balushi","Sami Al Balushi","","","2003-03-08","","om","[]","","bat","Right Hand Bat","","",0,0,8,"","","","","","","Oman"
117250,"Amanda Dcosta","A Dcosta","Amanda Dcosta","","","2005-03-11","","om","[]","","all","Right Hand Bat","Left Arm Orthodox","",0,0,9.5,"","","","","","","Oman"
117251,"Saya Channa","S Channa","Saya Channa","","","2002-09-22","","om","[]","","all","Right Hand Bat","Right Arm Medium Fast","",0,0,9,"","","","","","","Oman"
120579,"Sami Wahid Baksh","S W Baksh","Sami Wahid Baksh","","","","","om","[]","","bowl","","","",0,0,8,"","","","","","","Oman"
117252,"Sushanthika Sathiya","S Sathiya","Sushanthika Sathiya","","","2007-02-22","","om","[]","","bowl","Right Hand Bat","Right Arm Off Break","",0,0,8,"","","","","","","Oman"
96000,"Mohammed Sameer","M Sameer","Mohammed Sameer","","","2003-06-19","","om","[]","","bat","Right Hand Bat","","",0,0,8,"","","","","","","Oman"
117248,"Nayan Anil","N Anil","Nayan Anil","","","2001-03-07","","om","[]","","bat","Right Hand Bat","Right Arm Medium Fast","",0,0,8.5,"","","","","","","Oman"
96001,"Muzahir Raza","M Raza","Muzahir Raza","","","2002-05-05","","om","[]","","all","Right Hand Bat","Right Arm Medium","",0,0,8,"","","","","","","Oman"
117249,"Alifiya Sayed","A Sayed","Alifiya Sayed","","","2004-05-14","","om","[]","","bat","Right Hand Bat","","",0,0,8.5,"","","","","","","Oman"
120577,"Saheem Bashir","S Bashir","Saheem Bashir","","","","","om","[]","","bat","","","",0,0,6,"","","","","","","Oman"
96002,"Sami Al Balushi","S A Balushi","Sami Al Balushi","","","2003-03-08","","om","[]","","bat","Right Hand Bat","","",0,0,8,"","","","","","","Oman"
117250,"Amanda Dcosta","A Dcosta","Amanda Dcosta","","","2005-03-11","","om","[]","","all","Right Hand Bat","Left Arm Orthodox","",0,0,9.5,"","","","","","","Oman"
117251,"Saya Channa","S Channa","Saya Channa","","","2002-09-22","","om","[]","","all","Right Hand Bat","Right Arm Medium Fast","",0,0,9,"","","","","","","Oman"
120579,"Sami Wahid Baksh","S W Baksh","Sami Wahid Baksh","","","","","om","[]","","bowl","","","",0,0,8,"","","","","","","Oman"
117252,"Sushanthika Sathiya","S Sathiya","Sushanthika Sathiya","","","2007-02-22","","om","[]","","bowl","Right Hand Bat","Right Arm Off Break","",0,0,8,"","","","","","","Oman"
96000,"Mohammed Sameer","M Sameer","Mohammed Sameer","","","2003-06-19","","om","[]","","bat","Right Hand Bat","","",0,0,8,"","","","","","","Oman"
117248,"Nayan Anil","N Anil","Nayan Anil","","","2001-03-07","","om","[]","","bat","Right Hand Bat","Right Arm Medium Fast","",0,0,8.5,"","","","","","","Oman"
96001,"Muzahir Raza","M Raza","Muzahir Raza","","","2002-05-05","","om","[]","","all","Right Hand Bat","Right Arm Medium","",0,0,8,"","","","","","","Oman"
117249,"Alifiya Sayed","A Sayed","Alifiya Sayed","","","2004-05-14","","om","[]","","bat","Right Hand Bat","","",0,0,8.5,"","","","","","","Oman"
120577,"Saheem Bashir","S Bashir","Saheem Bashir","","","","","om","[]","","bat","","","",0,0,6,"","","","","","","Oman"
96002,"Sami Al Balushi","S A Balushi","Sami Al Balushi","","","2003-03-08","","om","[]","","bat","Right Hand Bat","","",0,0,8,"","","","","","","Oman"
117250,"Amanda Dcosta","A Dcosta","Amanda Dcosta","","","2005-03-11","","om","[]","","all","Right Hand Bat","Left Arm Orthodox","",0,0,9.5,"","","","","","","Oman"
117251,"Saya Channa","S Channa","Saya Channa","","","2002-09-22","","om","[]","","all","Right Hand Bat","Right Arm Medium Fast","",0,0,9,"","","","","","","Oman"
120579,"Sami Wahid Baksh","S W Baksh","Sami Wahid Baksh","","","","","om","[]","","bowl","","","",0,0,8,"","","","","","","Oman"
117252,"Sushanthika Sathiya","S Sathiya","Sushanthika Sathiya","","","2007-02-22","","om","[]","","bowl","Right Hand Bat","Right Arm Off Break","",0,0,8,"","","","","","","Oman"
96000,"Mohammed Sameer","M Sameer","Mohammed Sameer","","","2003-06-19","","om","[]","","bat","Right Hand Bat","","",0,0,8,"","","","","","","Oman"
117248,"Nayan Anil","N Anil","Nayan Anil","","","2001-03-07","","om","[]","","bat","Right Hand Bat","Right Arm Medium Fast","",0,0,8.5,"","","","","","","Oman"
96001,"Muzahir Raza","M Raza","Muzahir Raza","","","2002-05-05","","om","[]","","all","Right Hand Bat","Right Arm Medium","",0,0,8,"","","","","","","Oman"
117249,"Alifiya Sayed","A Sayed","Alifiya Sayed","","","2004-05-14","","om","[]","","bat","Right Hand Bat","","",0,0,8.5,"","","","","","","Oman"
120577,"Saheem Bashir","S Bashir","Saheem Bashir","","","","","om","[]","","bat","","","",0,0,6,"","","","","","","Oman"
96002,"Sami Al Balushi","S A Balushi","Sami Al Balushi","","","2003-03-08","","om","[]","","bat","Right Hand Bat","","",0,0,8,"","","","","","","Oman"
117250,"Amanda Dcosta","A Dcosta","Amanda Dcosta","","","2005-03-11","","om","[]","","all","Right Hand Bat","Left Arm Orthodox","",0,0,9.5,"","","","","","","Oman"
117251,"Saya Channa","S Channa","Saya Channa","","","2002-09-22","","om","[]","","all","Right Hand Bat","Right Arm Medium Fast","",0,0,9,"","","","","","","Oman"
120579,"Sami Wahid Baksh","S W Baksh","Sami Wahid Baksh","","","","","om","[]","","bowl","","","",0,0,8,"","","","","","","Oman"
117252,"Sushanthika Sathiya","S Sathiya","Sushanthika Sathiya","","","2007-02-22","","om","[]","","bowl","Right Hand Bat","Right Arm Off Break","",0,0,8,"","","","","","","Oman"
96000,"Mohammed Sameer","M Sameer","Mohammed Sameer","","","2003-06-19","","om","[]","","bat","Right Hand Bat","","",0,0,8,"","","","","","","Oman"
117248,"Nayan Anil","N Anil","Nayan Anil","","","2001-03-07","","om","[]","","bat","Right Hand Bat","Right Arm Medium Fast","",0,0,8.5,"","","","","","","Oman"
96001,"Muzahir Raza","M Raza","Muzahir Raza","","","2002-05-05","","om","[]","","all","Right Hand Bat","Right Arm Medium","",0,0,8,"","","","","","","Oman"
117249,"Alifiya Sayed","A Sayed","Alifiya Sayed","","","2004-05-14","","om","[]","","bat","Right Hand Bat","","",0,0,8.5,"","","","","","","Oman"
120577,"Saheem Bashir","S Bashir","Saheem Bashir","","","","","om","[]","","bat","","","",0,0,6,"","","","","","","Oman"
96002,"Sami Al Balushi","S A Balushi","Sami Al Balushi","","","2003-03-08","","om","[]","","bat","Right Hand Bat","","",0,0,8,"","","","","","","Oman"
117250,"Amanda Dcosta","A Dcosta","Amanda Dcosta","","","2005-03-11","","om","[]","","all","Right Hand Bat","Left Arm Orthodox","",0,0,9.5,"","","","","","","Oman"
117251,"Saya Channa","S Channa","Saya Channa","","","2002-09-22","","om","[]","","all","Right Hand Bat","Right Arm Medium Fast","",0,0,9,"","","","","","","Oman"
120579,"Sami Wahid Baksh","S W Baksh","Sami Wahid Baksh","","","","","om","[]","","bowl","","","",0,0,8,"","","","","","","Oman"
117252,"Sushanthika Sathiya","S Sathiya","Sushanthika Sathiya","","","2007-02-22","","om","[]","","bowl","Right Hand Bat","Right Arm Off Break","",0,0,8,"","","","","","","Oman"
96000,"Mohammed Sameer","M Sameer","Mohammed Sameer","","","2003-06-19","","om","[]","","bat","Right Hand Bat","","",0,0,8,"","","","","","","Oman"
117248,"Nayan Anil","N Anil","Nayan Anil","","","2001-03-07","","om","[]","","bat","Right Hand Bat","Right Arm Medium Fast","",0,0,8.5,"","","","","","","Oman"
96001,"Muzahir Raza","M Raza","Muzahir Raza","","","2002-05-05","","om","[]","","all","Right Hand Bat","Right Arm Medium","",0,0,8,"","","","","","","Oman"
117249,"Alifiya Sayed","A Sayed","Alifiya Sayed","","","2004-05-14","","om","[]","","bat","Right Hand Bat","","",0,0,8.5,"","","","","","","Oman"
120577,"Saheem Bashir","S Bashir","Saheem Bashir","","","","","om","[]","","bat","","","",0,0,6,"","","","","","","Oman"
96002,"Sami Al Balushi","S A Balushi","Sami Al Balushi","","","2003-03-08","","om","[]","","bat","Right Hand Bat","","",0,0,8,"","","","","","","Oman"
117250,"Amanda Dcosta","A Dcosta","Amanda Dcosta","","","2005-03-11","","om","[]","","all","Right Hand Bat","Left Arm Orthodox","",0,0,9.5,"","","","","","","Oman"
117251,"Saya Channa","S Channa","Saya Channa","","","2002-09-22","","om","[]","","all","Right Hand Bat","Right Arm Medium Fast","",0,0,9,"","","","","","","Oman"
120579,"Sami Wahid Baksh","S W Baksh","Sami Wahid Baksh","","","","","om","[]","","bowl","","","",0,0,8,"","","","","","","Oman"
117252,"Sushanthika Sathiya","S Sathiya","Sushanthika Sathiya","","","2007-02-22","","om","[]","","bowl","Right Hand Bat","Right Arm Off Break","",0,0,8,"","","","","","","Oman"
96000,"Mohammed Sameer","M Sameer","Mohammed Sameer","","","2003-06-19","","om","[]","","bat","Right Hand Bat","","",0,0,8,"","","","","","","Oman"
117248,"Nayan Anil","N Anil","Nayan Anil","","","2001-03-07","","om","[]","","bat","Right Hand Bat","Right Arm Medium Fast","",0,0,8.5,"","","","","","","Oman"
96001,"Muzahir Raza","M Raza","Muzahir Raza","","","2002-05-05","","om","[]","","all","Right Hand Bat","Right Arm Medium","",0,0,8,"","","","","","","Oman"
117249,"Alifiya Sayed","A Sayed","Alifiya Sayed","","","2004-05-14","","om","[]","","bat","Right Hand Bat","","",0,0,8.5,"","","","","","","Oman"
120577,"Saheem Bashir","S Bashir","Saheem Bashir","","","","","om","[]","","bat","","","",0,0,6,"","","","","","","Oman"
96002,"Sami Al Balushi","S A Balushi","Sami Al Balushi","","","2003-03-08","","om","[]","","bat","Right Hand Bat","","",0,0,8,"","","","","","","Oman"
117250,"Amanda Dcosta","A Dcosta","Amanda Dcosta","","","2005-03-11","","om","[]","","all","Right Hand Bat","Left Arm Orthodox","",0,0,9.5,"","","","","","","Oman"
117251,"Saya Channa","S Channa","Saya Channa","","","2002-09-22","","om","[]","","all","Right Hand Bat","Right Arm Medium Fast","",0,0,9,"","","","","","","Oman"
120579,"Sami Wahid Baksh","S W Baksh","Sami Wahid Baksh","","","","","om","[]","","bowl","","","",0,0,8,"","","","","","","Oman"
117252,"Sushanthika Sathiya","S Sathiya","Sushanthika Sathiya","","","2007-02-22","","om","[]","","bowl","Right Hand Bat","Right Arm Off Break","",0,0,8,"","","","","","","Oman"
96000,"Mohammed Sameer","M Sameer","Mohammed Sameer","","","2003-06-19","","om","[]","","bat","Right Hand Bat","","",0,0,8,"","","","","","","Oman"
117248,"Nayan Anil","N Anil","Nayan Anil","","","2001-03-07","","om","[]","","bat","Right Hand Bat","Right Arm Medium Fast","",0,0,8.5,"","","","","","","Oman"
96001,"Muzahir Raza","M Raza","Muzahir Raza","","","2002-05-05","","om","[]","","all","Right Hand Bat","Right Arm Medium","",0,0,8,"","","","","","","Oman"
117249,"Alifiya Sayed","A Sayed","Alifiya Sayed","","","2004-05-14","","om","[]","","bat","Right Hand Bat","","",0,0,8.5,"","","","","","","Oman"
120577,"Saheem Bashir","S Bashir","Saheem Bashir","","","","","om","[]","","bat","","","",0,0,6,"","","","","","","Oman"
96002,"Sami Al Balushi","S A Balushi","Sami Al Balushi","","","2003-03-08","","om","[]","","bat","Right Hand Bat","","",0,0,8,"","","","","","","Oman"
117250,"Amanda Dcosta","A Dcosta","Amanda Dcosta","","","2005-03-11","","om","[]","","all","Right Hand Bat","Left Arm Orthodox","",0,0,9.5,"","","","","","","Oman"
117251,"Saya Channa","S Channa","Saya Channa","","","2002-09-22","","om","[]","","all","Right Hand Bat","Right Arm Medium Fast","",0,0,9,"","","","","","","Oman"
120579,"Sami Wahid Baksh","S W Baksh","Sami Wahid Baksh","","","","","om","[]","","bowl","","","",0,0,8,"","","","","","","Oman"
117252,"Sushanthika Sathiya","S Sathiya","Sushanthika Sathiya","","","2007-02-22","","om","[]","","bowl","Right Hand Bat","Right Arm Off Break","",0,0,8,"","","","","","","Oman"
