"pid","title","short_name","first_name","last_name","middle_name","birthdate","birthplace","country","primary_team","logo_url","playing_role","batting_style","bowling_style","fielding_position","recent_match","recent_appearance","fantasy_player_rating","alt_name","facebook_profile","twitter_profile","instagram_profile","debut_data","thumb_url","nationality"
44544,"Lisa Klokgieters","L Klokgieters","Lisa Klokgieters","","","1998-03-28","","nl","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,8,"","","","","","","Netherlands"
102913,"Sawan Sardha","S Sardha","Sawan Sardha","","","","","nl","[]","","bowl","","","",0,0,8.5,"","","","","","","Netherlands"
109825,"Puneet Kumar Bindlish","Puneet Kumar Bindlish","Puneet Kumar Bindlish","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
44545,"Robine Rijke","Robine Rijke","Robine Rijke","","","1996-09-01","","nl","[]","","all","Right Hand Bat","Right Arm Medium","",0,0,8.5,"Robine Rijke","","","","","","Netherlands"
59137,"Neil Kruger","N Kruger","Neil Kruger","","","1981-08-15","","nl","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,9,"","","","","","","Netherlands"
102914,"Mudassar Bukhari","M Bukhari","Mudassar Bukhari","","","","","nl","[]","","all","","","",0,0,9.5,"","","","","","","Netherlands"
109826,"Murad Jiwa","Murad Jiwa","Murad Jiwa","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
59138,"Tom de Grooth","TN de Grooth","Tom de Grooth","","","1979-05-14","","nl","[]","","bat","Right Hand Bat","Right Arm Off Break","",0,0,8,"","","","","","","Netherlands"
102912,"Prithviraj Balwant Singh","PB Singh","Prithviraj Balwant Singh","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
109824,"Maninder Singh","Maninder Singh","Maninder Singh","","","","","nl","[]","","bat","","","",0,0,9,"","","","","","","Netherlands"
44544,"Lisa Klokgieters","L Klokgieters","Lisa Klokgieters","","","1998-03-28","","nl","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,8,"","","","","","","Netherlands"
102913,"Sawan Sardha","S Sardha","Sawan Sardha","","","","","nl","[]","","bowl","","","",0,0,8.5,"","","","","","","Netherlands"
109825,"Puneet Kumar Bindlish","Puneet Kumar Bindlish","Puneet Kumar Bindlish","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
44545,"Robine Rijke","Robine Rijke","Robine Rijke","","","1996-09-01","","nl","[]","","all","Right Hand Bat","Right Arm Medium","",0,0,8.5,"Robine Rijke","","","","","","Netherlands"
59137,"Neil Kruger","N Kruger","Neil Kruger","","","1981-08-15","","nl","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,9,"","","","","","","Netherlands"
102914,"Mudassar Bukhari","M Bukhari","Mudassar Bukhari","","","","","nl","[]","","all","","","",0,0,9.5,"","","","","","","Netherlands"
109826,"Murad Jiwa","Murad Jiwa","Murad Jiwa","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
59138,"Tom de Grooth","TN de Grooth","Tom de Grooth","","","1979-05-14","","nl","[]","","bat","Right Hand Bat","Right Arm Off Break","",0,0,8,"","","","","","","Netherlands"
102912,"Prithviraj Balwant Singh","PB Singh","Prithviraj Balwant Singh","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
109824,"Maninder Singh","Maninder Singh","Maninder Singh","","","","","nl","[]","","bat","","","",0,0,9,"","","","","","","Netherlands"
44544,"Lisa Klokgieters","L Klokgieters","Lisa Klokgieters","","","1998-03-28","","nl","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,8,"","","","","","","Netherlands"
102913,"Sawan Sardha","S Sardha","Sawan Sardha","","","","","nl","[]","","bowl","","","",0,0,8.5,"","","","","","","Netherlands"
109825,"Puneet Kumar Bindlish","Puneet Kumar Bindlish","Puneet Kumar Bindlish","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
44545,"Robine Rijke","Robine Rijke","Robine Rijke","","","1996-09-01","","nl","[]","","all","Right Hand Bat","Right Arm Medium","",0,0,8.5,"Robine Rijke","","","","","","Netherlands"
59137,"Neil Kruger","N Kruger","Neil Kruger","","","1981-08-15","","nl","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,9,"","","","","","","Netherlands"
102914,"Mudassar Bukhari","M Bukhari","Mudassar Bukhari","","","","","nl","[]","","all","","","",0,0,9.5,"","","","","","","Netherlands"
109826,"Murad Jiwa","Murad Jiwa","Murad Jiwa","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
59138,"Tom de Grooth","TN de Grooth","Tom de Grooth","","","1979-05-14","","nl","[]","","bat","Right Hand Bat","Right Arm Off Break","",0,0,8,"","","","","","","Netherlands"
102912,"Prithviraj Balwant Singh","PB Singh","Prithviraj Balwant Singh","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
109824,"Maninder Singh","Maninder Singh","Maninder Singh","","","","","nl","[]","","bat","","","",0,0,9,"","","","","","","Netherlands"
44544,"Lisa Klokgieters","L Klokgieters","Lisa Klokgieters","","","1998-03-28","","nl","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,8,"","","","","","","Netherlands"
102913,"Sawan Sardha","S Sardha","Sawan Sardha","","","","","nl","[]","","bowl","","","",0,0,8.5,"","","","","","","Netherlands"
109825,"Puneet Kumar Bindlish","Puneet Kumar Bindlish","Puneet Kumar Bindlish","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
44545,"Robine Rijke","Robine Rijke","Robine Rijke","","","1996-09-01","","nl","[]","","all","Right Hand Bat","Right Arm Medium","",0,0,8.5,"Robine Rijke","","","","","","Netherlands"
59137,"Neil Kruger","N Kruger","Neil Kruger","","","1981-08-15","","nl","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,9,"","","","","","","Netherlands"
102914,"Mudassar Bukhari","M Bukhari","Mudassar Bukhari","","","","","nl","[]","","all","","","",0,0,9.5,"","","","","","","Netherlands"
109826,"Murad Jiwa","Murad Jiwa","Murad Jiwa","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
59138,"Tom de Grooth","TN de Grooth","Tom de Grooth","","","1979-05-14","","nl","[]","","bat","Right Hand Bat","Right Arm Off Break","",0,0,8,"","","","","","","Netherlands"
102912,"Prithviraj Balwant Singh","PB Singh","Prithviraj Balwant Singh","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
109824,"Maninder Singh","Maninder Singh","Maninder Singh","","","","","nl","[]","","bat","","","",0,0,9,"","","","","","","Netherlands"
44544,"Lisa Klokgieters","L Klokgieters","Lisa Klokgieters","","","1998-03-28","","nl","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,8,"","","","","","","Netherlands"
102913,"Sawan Sardha","S Sardha","Sawan Sardha","","","","","nl","[]","","bowl","","","",0,0,8.5,"","","","","","","Netherlands"
109825,"Puneet Kumar Bindlish","Puneet Kumar Bindlish","Puneet Kumar Bindlish","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
44545,"Robine Rijke","Robine Rijke","Robine Rijke","","","1996-09-01","","nl","[]","","all","Right Hand Bat","Right Arm Medium","",0,0,8.5,"Robine Rijke","","","","","","Netherlands"
59137,"Neil Kruger","N Kruger","Neil Kruger","","","1981-08-15","","nl","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,9,"","","","","","","Netherlands"
102914,"Mudassar Bukhari","M Bukhari","Mudassar Bukhari","","","","","nl","[]","","all","","","",0,0,9.5,"","","","","","","Netherlands"
109826,"Murad Jiwa","Murad Jiwa","Murad Jiwa","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
59138,"Tom de Grooth","TN de Grooth","Tom de Grooth","","","1979-05-14","","nl","[]","","bat","Right Hand Bat","Right Arm Off Break","",0,0,8,"","","","","","","Netherlands"
102912,"Prithviraj Balwant Singh","PB Singh","Prithviraj Balwant Singh","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
109824,"Maninder Singh","Maninder Singh","Maninder Singh","","","","","nl","[]","","bat","","","",0,0,9,"","","","","","","Netherlands"
44544,"Lisa Klokgieters","L Klokgieters","Lisa Klokgieters","","","1998-03-28","","nl","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,8,"","","","","","","Netherlands"
102913,"Sawan Sardha","S Sardha","Sawan Sardha","","","","","nl","[]","","bowl","","","",0,0,8.5,"","","","","","","Netherlands"
109825,"Puneet Kumar Bindlish","Puneet Kumar Bindlish","Puneet Kumar Bindlish","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
44545,"Robine Rijke","Robine Rijke","Robine Rijke","","","1996-09-01","","nl","[]","","all","Right Hand Bat","Right Arm Medium","",0,0,8.5,"Robine Rijke","","","","","","Netherlands"
59137,"Neil Kruger","N Kruger","Neil Kruger","","","1981-08-15","","nl","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,9,"","","","","","","Netherlands"
102914,"Mudassar Bukhari","M Bukhari","Mudassar Bukhari","","","","","nl","[]","","all","","","",0,0,9.5,"","","","","","","Netherlands"
109826,"Murad Jiwa","Murad Jiwa","Murad Jiwa","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
59138,"Tom de Grooth","TN de Grooth","Tom de Grooth","","","1979-05-14","","nl","[]","","bat","Right Hand Bat","Right Arm Off Break","",0,0,8,"","","","","","","Netherlands"
102912,"Prithviraj Balwant Singh","PB Singh","Prithviraj Balwant Singh","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
109824,"Maninder Singh","Maninder Singh","Maninder Singh","","","","","nl","[]","","bat","","","",0,0,9,"","","","","","","Netherlands"
44544,"Lisa Klokgieters","L Klokgieters","Lisa Klokgieters","","","1998-03-28","","nl","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,8,"","","","","","","Netherlands"
102913,"Sawan Sardha","S Sardha","Sawan Sardha","","","","","nl","[]","","bowl","","","",0,0,8.5,"","","","","","","Netherlands"
109825,"Puneet Kumar Bindlish","Puneet Kumar Bindlish","Puneet Kumar Bindlish","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
44545,"Robine Rijke","Robine Rijke","Robine Rijke","","","1996-09-01","","nl","[]","","all","Right Hand Bat","Right Arm Medium","",0,0,8.5,"Robine Rijke","","","","","","Netherlands"
59137,"Neil Kruger","N Kruger","Neil Kruger","","","1981-08-15","","nl","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,9,"","","","","","","Netherlands"
102914,"Mudassar Bukhari","M Bukhari","Mudassar Bukhari","","","","","nl","[]","","all","","","",0,0,9.5,"","","","","","","Netherlands"
109826,"Murad Jiwa","Murad Jiwa","Murad Jiwa","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
59138,"Tom de Grooth","TN de Grooth","Tom de Grooth","","","1979-05-14","","nl","[]","","bat","Right Hand Bat","Right Arm Off Break","",0,0,8,"","","","","","","Netherlands"
102912,"Prithviraj Balwant Singh","PB Singh","Prithviraj Balwant Singh","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
109824,"Maninder Singh","Maninder Singh","Maninder Singh","","","","","nl","[]","","bat","","","",0,0,9,"","","","","","","Netherlands"
44544,"Lisa Klokgieters","L Klokgieters","Lisa Klokgieters","","","1998-03-28","","nl","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,8,"","","","","","","Netherlands"
102913,"Sawan Sardha","S Sardha","Sawan Sardha","","","","","nl","[]","","bowl","","","",0,0,8.5,"","","","","","","Netherlands"
109825,"Puneet Kumar Bindlish","Puneet Kumar Bindlish","Puneet Kumar Bindlish","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
44545,"Robine Rijke","Robine Rijke","Robine Rijke","","","1996-09-01","","nl","[]","","all","Right Hand Bat","Right Arm Medium","",0,0,8.5,"Robine Rijke","","","","","","Netherlands"
59137,"Neil Kruger","N Kruger","Neil Kruger","","","1981-08-15","","nl","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,9,"","","","","","","Netherlands"
102914,"Mudassar Bukhari","M Bukhari","Mudassar Bukhari","","","","","nl","[]","","all","","","",0,0,9.5,"","","","","","","Netherlands"
109826,"Murad Jiwa","Murad Jiwa","Murad Jiwa","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
59138,"Tom de Grooth","TN de Grooth","Tom de Grooth","","","1979-05-14","","nl","[]","","bat","Right Hand Bat","Right Arm Off Break","",0,0,8,"","","","","","","Netherlands"
102912,"Prithviraj Balwant Singh","PB Singh","Prithviraj Balwant Singh","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
109824,"Maninder Singh","Maninder Singh","Maninder Singh","","","","","nl","[]","","bat","","","",0,0,9,"","","","","","","Netherlands"
44544,"Lisa Klokgieters","L Klokgieters","Lisa Klokgieters","","","1998-03-28","","nl","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,8,"","","","","","","Netherlands"
102913,"Sawan Sardha","S Sardha","Sawan Sardha","","","","","nl","[]","","bowl","","","",0,0,8.5,"","","","","","","Netherlands"
109825,"Puneet Kumar Bindlish","Puneet Kumar Bindlish","Puneet Kumar Bindlish","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
44545,"Robine Rijke","Robine Rijke","Robine Rijke","","","1996-09-01","","nl","[]","","all","Right Hand Bat","Right Arm Medium","",0,0,8.5,"Robine Rijke","","","","","","Netherlands"
59137,"Neil Kruger","N Kruger","Neil Kruger","","","1981-08-15","","nl","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,9,"","","","","","","Netherlands"
102914,"Mudassar Bukhari","M Bukhari","Mudassar Bukhari","","","","","nl","[]","","all","","","",0,0,9.5,"","","","","","","Netherlands"
109826,"Murad Jiwa","Murad Jiwa","Murad Jiwa","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
59138,"Tom de Grooth","TN de Grooth","Tom de Grooth","","","1979-05-14","","nl","[]","","bat","Right Hand Bat","Right Arm Off Break","",0,0,8,"","","","","","","Netherlands"
102912,"Prithviraj Balwant Singh","PB Singh","Prithviraj Balwant Singh","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
109824,"Maninder Singh","Maninder Singh","Maninder Singh","","","","","nl","[]","","bat","","","",0,0,9,"","","","","","","Netherlands"
44544,"Lisa Klokgieters","L Klokgieters","Lisa Klokgieters","","","1998-03-28","","nl","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,8,"","","","","","","Netherlands"
102913,"Sawan Sardha","S Sardha","Sawan Sardha","","","","","nl","[]","","bowl","","","",0,0,8.5,"","","","","","","Netherlands"
109825,"Puneet Kumar Bindlish","Puneet Kumar Bindlish","Puneet Kumar Bindlish","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
44545,"Robine Rijke","Robine Rijke","Robine Rijke","","","1996-09-01","","nl","[]","","all","Right Hand Bat","Right Arm Medium","",0,0,8.5,"Robine Rijke","","","","","","Netherlands"
59137,"Neil Kruger","N Kruger","Neil Kruger","","","1981-08-15","","nl","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,9,"","","","","","","Netherlands"
102914,"Mudassar Bukhari","M Bukhari","Mudassar Bukhari","","","","","nl","[]","","all","","","",0,0,9.5,"","","","","","","Netherlands"
109826,"Murad Jiwa","Murad Jiwa","Murad Jiwa","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
59138,"Tom de Grooth","TN de Grooth","Tom de Grooth","","","1979-05-14","","nl","[]","","bat","Right Hand Bat","Right Arm Off Break","",0,0,8,"","","","","","","Netherlands"
102912,"Prithviraj Balwant Singh","PB Singh","Prithviraj Balwant Singh","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
109824,"Maninder Singh","Maninder Singh","Maninder Singh","","","","","nl","[]","","bat","","","",0,0,9,"","","","","","","Netherlands"
44544,"Lisa Klokgieters","L Klokgieters","Lisa Klokgieters","","","1998-03-28","","nl","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,8,"","","","","","","Netherlands"
102913,"Sawan Sardha","S Sardha","Sawan Sardha","","","","","nl","[]","","bowl","","","",0,0,8.5,"","","","","","","Netherlands"
109825,"Puneet Kumar Bindlish","Puneet Kumar Bindlish","Puneet Kumar Bindlish","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
44545,"Robine Rijke","Robine Rijke","Robine Rijke","","","1996-09-01","","nl","[]","","all","Right Hand Bat","Right Arm Medium","",0,0,8.5,"Robine Rijke","","","","","","Netherlands"
59137,"Neil Kruger","N Kruger","Neil Kruger","","","1981-08-15","","nl","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,9,"","","","","","","Netherlands"
102914,"Mudassar Bukhari","M Bukhari","Mudassar Bukhari","","","","","nl","[]","","all","","","",0,0,9.5,"","","","","","","Netherlands"
109826,"Murad Jiwa","Murad Jiwa","Murad Jiwa","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
59138,"Tom de Grooth","TN de Grooth","Tom de Grooth","","","1979-05-14","","nl","[]","","bat","Right Hand Bat","Right Arm Off Break","",0,0,8,"","","","","","","Netherlands"
102912,"Prithviraj Balwant Singh","PB Singh","Prithviraj Balwant Singh","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
109824,"Maninder Singh","Maninder Singh","Maninder Singh","","","","","nl","[]","","bat","","","",0,0,9,"","","","","","","Netherlands"
44544,"Lisa Klokgieters","L Klokgieters","Lisa Klokgieters","","","1998-03-28","","nl","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,8,"","","","","","","Netherlands"
102913,"Sawan Sardha","S Sardha","Sawan Sardha","","","","","nl","[]","","bowl","","","",0,0,8.5,"","","","","","","Netherlands"
109825,"Puneet Kumar Bindlish","Puneet Kumar Bindlish","Puneet Kumar Bindlish","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
44545,"Robine Rijke","Robine Rijke","Robine Rijke","","","1996-09-01","","nl","[]","","all","Right Hand Bat","Right Arm Medium","",0,0,8.5,"Robine Rijke","","","","","","Netherlands"
59137,"Neil Kruger","N Kruger","Neil Kruger","","","1981-08-15","","nl","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,9,"","","","","","","Netherlands"
102914,"Mudassar Bukhari","M Bukhari","Mudassar Bukhari","","","","","nl","[]","","all","","","",0,0,9.5,"","","","","","","Netherlands"
109826,"Murad Jiwa","Murad Jiwa","Murad Jiwa","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
59138,"Tom de Grooth","TN de Grooth","Tom de Grooth","","","1979-05-14","","nl","[]","","bat","Right Hand Bat","Right Arm Off Break","",0,0,8,"","","","","","","Netherlands"
102912,"Prithviraj Balwant Singh","PB Singh","Prithviraj Balwant Singh","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
109824,"Maninder Singh","Maninder Singh","Maninder Singh","","","","","nl","[]","","bat","","","",0,0,9,"","","","","","","Netherlands"
44544,"Lisa Klokgieters","L Klokgieters","Lisa Klokgieters","","","1998-03-28","","nl","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,8,"","","","","","","Netherlands"
102913,"Sawan Sardha","S Sardha","Sawan Sardha","","","","","nl","[]","","bowl","","","",0,0,8.5,"","","","","","","Netherlands"
109825,"Puneet Kumar Bindlish","Puneet Kumar Bindlish","Puneet Kumar Bindlish","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
44545,"Robine Rijke","Robine Rijke","Robine Rijke","","","1996-09-01","","nl","[]","","all","Right Hand Bat","Right Arm Medium","",0,0,8.5,"Robine Rijke","","","","","","Netherlands"
59137,"Neil Kruger","N Kruger","Neil Kruger","","","1981-08-15","","nl","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,9,"","","","","","","Netherlands"
102914,"Mudassar Bukhari","M Bukhari","Mudassar Bukhari","","","","","nl","[]","","all","","","",0,0,9.5,"","","","","","","Netherlands"
109826,"Murad Jiwa","Murad Jiwa","Murad Jiwa","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
59138,"Tom de Grooth","TN de Grooth","Tom de Grooth","","","1979-05-14","","nl","[]","","bat","Right Hand Bat","Right Arm Off Break","",0,0,8,"","","","","","","Netherlands"
102912,"Prithviraj Balwant Singh","PB Singh","Prithviraj Balwant Singh","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
109824,"Maninder Singh","Maninder Singh","Maninder Singh","","","","","nl","[]","","bat","","","",0,0,9,"","","","","","","Netherlands"
44544,"Lisa Klokgieters","L Klokgieters","Lisa Klokgieters","","","1998-03-28","","nl","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,8,"","","","","","","Netherlands"
102913,"Sawan Sardha","S Sardha","Sawan Sardha","","","","","nl","[]","","bowl","","","",0,0,8.5,"","","","","","","Netherlands"
109825,"Puneet Kumar Bindlish","Puneet Kumar Bindlish","Puneet Kumar Bindlish","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
44545,"Robine Rijke","Robine Rijke","Robine Rijke","","","1996-09-01","","nl","[]","","all","Right Hand Bat","Right Arm Medium","",0,0,8.5,"Robine Rijke","","","","","","Netherlands"
59137,"Neil Kruger","N Kruger","Neil Kruger","","","1981-08-15","","nl","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,9,"","","","","","","Netherlands"
102914,"Mudassar Bukhari","M Bukhari","Mudassar Bukhari","","","","","nl","[]","","all","","","",0,0,9.5,"","","","","","","Netherlands"
109826,"Murad Jiwa","Murad Jiwa","Murad Jiwa","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
59138,"Tom de Grooth","TN de Grooth","Tom de Grooth","","","1979-05-14","","nl","[]","","bat","Right Hand Bat","Right Arm Off Break","",0,0,8,"","","","","","","Netherlands"
102912,"Prithviraj Balwant Singh","PB Singh","Prithviraj Balwant Singh","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
109824,"Maninder Singh","Maninder Singh","Maninder Singh","","","","","nl","[]","","bat","","","",0,0,9,"","","","","","","Netherlands"
44544,"Lisa Klokgieters","L Klokgieters","Lisa Klokgieters","","","1998-03-28","","nl","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,8,"","","","","","","Netherlands"
102913,"Sawan Sardha","S Sardha","Sawan Sardha","","","","","nl","[]","","bowl","","","",0,0,8.5,"","","","","","","Netherlands"
109825,"Puneet Kumar Bindlish","Puneet Kumar Bindlish","Puneet Kumar Bindlish","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
44545,"Robine Rijke","Robine Rijke","Robine Rijke","","","1996-09-01","","nl","[]","","all","Right Hand Bat","Right Arm Medium","",0,0,8.5,"Robine Rijke","","","","","","Netherlands"
59137,"Neil Kruger","N Kruger","Neil Kruger","","","1981-08-15","","nl","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,9,"","","","","","","Netherlands"
102914,"Mudassar Bukhari","M Bukhari","Mudassar Bukhari","","","","","nl","[]","","all","","","",0,0,9.5,"","","","","","","Netherlands"
109826,"Murad Jiwa","Murad Jiwa","Murad Jiwa","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
59138,"Tom de Grooth","TN de Grooth","Tom de Grooth","","","1979-05-14","","nl","[]","","bat","Right Hand Bat","Right Arm Off Break","",0,0,8,"","","","","","","Netherlands"
102912,"Prithviraj Balwant Singh","PB Singh","Prithviraj Balwant Singh","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
109824,"Maninder Singh","Maninder Singh","Maninder Singh","","","","","nl","[]","","bat","","","",0,0,9,"","","","","","","Netherlands"
44544,"Lisa Klokgieters","L Klokgieters","Lisa Klokgieters","","","1998-03-28","","nl","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,8,"","","","","","","Netherlands"
102913,"Sawan Sardha","S Sardha","Sawan Sardha","","","","","nl","[]","","bowl","","","",0,0,8.5,"","","","","","","Netherlands"
109825,"Puneet Kumar Bindlish","Puneet Kumar Bindlish","Puneet Kumar Bindlish","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
44545,"Robine Rijke","Robine Rijke","Robine Rijke","","","1996-09-01","","nl","[]","","all","Right Hand Bat","Right Arm Medium","",0,0,8.5,"Robine Rijke","","","","","","Netherlands"
59137,"Neil Kruger","N Kruger","Neil Kruger","","","1981-08-15","","nl","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,9,"","","","","","","Netherlands"
102914,"Mudassar Bukhari","M Bukhari","Mudassar Bukhari","","","","","nl","[]","","all","","","",0,0,9.5,"","","","","","","Netherlands"
109826,"Murad Jiwa","Murad Jiwa","Murad Jiwa","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
59138,"Tom de Grooth","TN de Grooth","Tom de Grooth","","","1979-05-14","","nl","[]","","bat","Right Hand Bat","Right Arm Off Break","",0,0,8,"","","","","","","Netherlands"
102912,"Prithviraj Balwant Singh","PB Singh","Prithviraj Balwant Singh","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
109824,"Maninder Singh","Maninder Singh","Maninder Singh","","","","","nl","[]","","bat","","","",0,0,9,"","","","","","","Netherlands"
44544,"Lisa Klokgieters","L Klokgieters","Lisa Klokgieters","","","1998-03-28","","nl","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,8,"","","","","","","Netherlands"
102913,"Sawan Sardha","S Sardha","Sawan Sardha","","","","","nl","[]","","bowl","","","",0,0,8.5,"","","","","","","Netherlands"
109825,"Puneet Kumar Bindlish","Puneet Kumar Bindlish","Puneet Kumar Bindlish","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
44545,"Robine Rijke","Robine Rijke","Robine Rijke","","","1996-09-01","","nl","[]","","all","Right Hand Bat","Right Arm Medium","",0,0,8.5,"Robine Rijke","","","","","","Netherlands"
59137,"Neil Kruger","N Kruger","Neil Kruger","","","1981-08-15","","nl","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,9,"","","","","","","Netherlands"
102914,"Mudassar Bukhari","M Bukhari","Mudassar Bukhari","","","","","nl","[]","","all","","","",0,0,9.5,"","","","","","","Netherlands"
109826,"Murad Jiwa","Murad Jiwa","Murad Jiwa","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
59138,"Tom de Grooth","TN de Grooth","Tom de Grooth","","","1979-05-14","","nl","[]","","bat","Right Hand Bat","Right Arm Off Break","",0,0,8,"","","","","","","Netherlands"
102912,"Prithviraj Balwant Singh","PB Singh","Prithviraj Balwant Singh","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
109824,"Maninder Singh","Maninder Singh","Maninder Singh","","","","","nl","[]","","bat","","","",0,0,9,"","","","","","","Netherlands"
44544,"Lisa Klokgieters","L Klokgieters","Lisa Klokgieters","","","1998-03-28","","nl","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,8,"","","","","","","Netherlands"
102913,"Sawan Sardha","S Sardha","Sawan Sardha","","","","","nl","[]","","bowl","","","",0,0,8.5,"","","","","","","Netherlands"
109825,"Puneet Kumar Bindlish","Puneet Kumar Bindlish","Puneet Kumar Bindlish","","","","","nl","[]","","all","","","",0,0,8.5,"","","","","","","Netherlands"
